Spanish,English
hola,hello
buenos dias,good morning
buenas tardes,good afternoon
buenas noches,good evening
adios,goodbye
chau,bye
hasta la vista,see you later
hasta luego,see you later 
hasta manana,see you tomorrow
hasta pronto,see you soon
nos vemos,see you
saludos a…,say hello to…
como estas,how are you?
como esta usted,how are you (formal)
que hay de nuevo?,what’s new?
que pasa?,what’s going on?
que tal?,how is it going?
(muy) bien gracias,(very) well thanks
nada,nothing
regular,so-so
como se llama usted?,what’s your name? (formal)
como te llamas?,what’s your name? (family)
me llamo…,my name is…
Y tu?,And you? (family)
Y usted?,And you? (formal)
mucho gusto,pleased to meet you
el gusto es mio,the pleasure is mine 
encantado /a,pleased to meet you
lgualmente,likewise 
le presento a…,I would like to introduce you to…(formal)
te presento a…,I would like to introduce you to…(family)
de donde es usted?,where are you from?(formal)
de donde eres?,where are you from?(family)
de nada,you’re welcome
lo siento,I’m sorry
(muchas) gracias,thank you (very much)
no hay de que,your’re welcome
por favor,please
senor(Sr.),Mr; (sir)
senora (Sra.),Mrs; (ma’am)
senorita(Srta.),Miss


