Spanish,English
Cero,zero (0)
Uno,one (1)
Dos,two (2)
Tres,three (3)
Cuatro,four (4)
Cinco,five (5)
Seis,six (6)
Siete,seven (7)
Ocho,eight (8)
Nueve, nine (9)
Diez,ten (10)
Once,eleven (11)
Doce,twelve (12)
Trece,thirteen (13)
Catorce,fourteen (14)
Quince,fifteen (15)
Dieciseis,sixteen (16)
Diecisiete,seventeen (17)
Dieciocho,eighteen (18)
Diecinueve,nineteen (19)
Veinte,twenty (20)
Veintiuno,twenty-one (21)
Veintidos,twenty-two (22)
Veintitres,twenty-three (23)
Veinticuatro,twenty-four (24)
Veinticinco,twenty-five (25)
Veintiseis,twenty-six (26)
Veintisiete,twenty-seven (27)
Veintiocho,twenty-eight (28)
Venitinueve,twenty-nine (29)
Treinta,thirty (30)
Mas,plus (+)
Menos,minus (-)
Son,equals (=)
Tres mas diez son trece,3 + 10 = 13
Veintidos menos tres son diecinueve,22 - 3 = 19
Cuatro mas ocho son doce,4 + 8 = 12
Diecisiete mas trece son treinta,17 + 13 = 30
Veintidos mas uno son veintitres,22 + 1 = 23



