Spanish,English
A,| ah |
B,| beh |
C,| ceh |
CH,| cheh | che
D,| deh |
E,| eh |
F,| eh-feh | efe
G,| heh | ge
H,| ah-cheh | hache
I,| ee |
J,| ho-tah | jota
K,| kah | ka
L,| eh-leh | ele
LL,| eh-yah | elle
M,| eh-meh | eme
N,| eh-neh | ene
Ñ,| eh-nyeh | eñe
O,| oh |
P,| peh |
Q,| kooh |
R,| eh_reh |ere
RR,| eh-r-r-r-eh | (roll tongue)
S,| eh-seh | ese
T,| teh | te
U,| oo |
V,| veh | ve
W,| doh-bleh-veh | doble ve
X,| eh-keehs | equis
Y,| ee-gree-eh-gah | i griega
Z,| zeh-tah |zeta



