Spanish,English
Nouns ending in o/ma/s are?,masculine
Nouns ending in a/cion/dad are?,feminine
El hombre,the man
El chico,the boy
El tio,the uncle
El padre,the father
El pasajero,the passenger (male )
El conductor,the driver (male)
El professor,the professor (male)
La mujer,the woman (feminine)
La chica,the girl 
La madre,the mother
La tia,the aunt
La pasajera,the passenger (feminine)
La conductora,the driver (feminine)
La profesora,the professor (fem)
El cuaderno,the notebook
El doario,the diary
El diccionario,the dictionary
El numero,the number
El video,the video
El problema,the problem
El programa,the program
El autobus,the bus
El pais,the country
La cosa,the thing
La escuela,the school
La maleta,the suitcase
La mochila,the backpack
La palabra,the word
La leccion,the lesson
La conversacion,the conversation
La nacionalidad,the nationality
La comunidad,the community
El diccionario,the dictionary
Los diccionarios,the dictionaries 
La computadora,the computer
Las computadoras,the computers
Un pasajero,a passenger (one)
Unos pasajeros,some passengers
Una fotogragia,a photograph (one)
Unas fotografias,some photographs
El lapiz,the pencil
Los lapices,the pencils
El mapa,the map
El dia,the day
La mano,the hand
El turista,the tourist
El joven,the young man
El estudiante,the student
La turista,the tourist (feminine)
La joven,the young woman
La estudiante,the student 




